year,firstday,lastday
2015,098,143
2016,166,210
2017,213,220
2018,145,214
2019,211,220
2020,225,313
2021,False,False
2022,False,False
2023,False,False
2024,False,False
2025,178,212
2026,172,226
2027,186,196
2028,088,248
2029,236,242
2030,181,187
2031,169,318
2032,198,221
2033,203,233
2034,180,188
2035,227,234
2036,148,192
2037,151,194
2038,205,231
2039,229,235
2040,247,255
2041,108,224
2042,False,False
2043,182,262
2044,180,259
2045,141,230
2046,130,216
2047,183,191
2048,171,251
2049,194,258
2050,182,245
2051,221,245
2052,195,203
2053,201,236
2054,188,219
2055,245,251
2056,186,238
2057,234,241
2058,181,188
2059,False,False
2060,254,321
2061,191,252
2062,215,267
2063,197,208
2064,167,338
2065,179,185
2066,False,False
2067,False,False
2068,False,False
2069,253,260
2070,123,254
2071,False,False
2072,False,False
2073,183,196
2074,False,False
2075,188,197
2076,241,247
2077,217,239
2078,219,319
2079,223,229
2080,154,234
2081,218,234
2082,219,233
2083,151,221
2084,197,257
2085,144,259
2086,234,241
2087,130,138
2088,164,259
2089,070,263
2090,200,266
2091,184,191
2092,137,211
2093,150,181
2094,False,False
2095,197,205
2096,203,214
2097,311,317
2098,242,249
2099,181,225
2100,192,201
